no GPIO library found
Info: input file: optical-reader-dec23-21-v3a.7ch, type: 7ch, basename: optical-reader-dec23-21-v3a
Info: FileName: optical-reader-dec23-21-v3a.7ch
Info: block_array contains 46 elements
Warning: suspicious WW block length: count=18432(d), actual block length=895(d)
Warning: 556 Decode overwriting core location 0o2462: was 0o0, changed to 0o171013
Warning: 556 Decode overwriting core location 0o2463: was 0o0, changed to 0o72540
Warning: 556 Decode overwriting core location 0o2464: was 0o0, changed to 0o106442
Warning: 556 Decode overwriting core location 0o2465: was 0o0, changed to 0o175334
Warning: 556 Decode overwriting core location 0o2466: was 0o0, changed to 0o40000
Warning: 556 Decode overwriting core location 0o2467: was 0o0, changed to 0o74000
Warning: 556 Decode overwriting core location 0o2470: was 0o0, changed to 0o101335
Warning: 556 Decode overwriting core location 0o2471: was 0o0, changed to 0o171023
Warning: 556 Decode overwriting core location 0o2472: was 0o0, changed to 0o115336
Warning: 556 Decode overwriting core location 0o2473: was 0o0, changed to 0o134000
Warning: 556 Decode overwriting core location 0o2474: was 0o0, changed to 0o72536
Warning: 556 Decode overwriting core location 0o2475: was 0o0, changed to 0o76521
Warning: 556 Decode overwriting core location 0o2476: was 0o0, changed to 0o105311
Warning: 556 Decode overwriting core location 0o2477: was 0o0, changed to 0o76525
Warning: 556 Decode overwriting core location 0o2500: was 0o0, changed to 0o101310
Warning: 556 Decode overwriting core location 0o2501: was 0o0, changed to 0o175335
Warning: 556 Decode overwriting core location 0o2502: was 0o0, changed to 0o171026
Warning: 556 Decode overwriting core location 0o2503: was 0o0, changed to 0o115336
Warning: 556 Decode overwriting core location 0o2504: was 0o0, changed to 0o134000
Warning: 556 Decode overwriting core location 0o2505: was 0o0, changed to 0o72547
Warning: 556 Decode overwriting core location 0o2506: was 0o0, changed to 0o76524
Warning: 556 Decode overwriting core location 0o2507: was 0o100000, changed to 0o105302
Warning: 556 Decode overwriting core location 0o2510: was 0o100000, changed to 0o76525
Warning: 556 Decode overwriting core location 0o2511: was 0o100000, changed to 0o101330
Warning: 556 Decode overwriting core location 0o2512: was 0o100000, changed to 0o115312
Warning: 556 Decode overwriting core location 0o2513: was 0o100000, changed to 0o75235
Warning: 556 Decode overwriting core location 0o2514: was 0o100000, changed to 0o170017
Warning: 556 Decode overwriting core location 0o2515: was 0o100000, changed to 0o171013
Warning: 556 Decode overwriting core location 0o2516: was 0o100000, changed to 0o41333
Warning: 556 Decode overwriting core location 0o2517: was 0o100000, changed to 0o102267
Warning: 556 Decode overwriting core location 0o2520: was 0o100000, changed to 0o72562
Warning: 556 Decode overwriting core location 0o2521: was 0o100000, changed to 0o74066
Warning: 556 Decode overwriting core location 0o2522: was 0o100000, changed to 0o176471
Warning: 556 Decode overwriting core location 0o2523: was 0o100000, changed to 0o40003
Warning: 556 Decode overwriting core location 0o2524: was 0o100000, changed to 0o102434
Warning: 556 Decode overwriting core location 0o2525: was 0o100000, changed to 0o74116
Warning: 556 Decode overwriting core location 0o2526: was 0o100000, changed to 0o101330
Warning: 556 Decode overwriting core location 0o2527: was 0o100000, changed to 0o171007
Warning: 556 Decode overwriting core location 0o2530: was 0o100000, changed to 0o70244
Warning: 556 Decode overwriting core location 0o2531: was 0o100000, changed to 0o104001
Warning: 556 Decode overwriting core location 0o2532: was 0o100000, changed to 0o134000
Warning: 556 Decode overwriting core location 0o2533: was 0o100000, changed to 0o61320
Warning: 556 Decode overwriting core location 0o2534: was 0o100000, changed to 0o106434
Warning: 556 Decode overwriting core location 0o2535: was 0o100000, changed to 0o174000
